MOVIES,YEAR,VOTES,RunTime,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,RATING,VOTES,RunTime,Gross
1856,2013,8.7,476656,510,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476656,510,
2720,2015,7.7,8300,200,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300,200,
2643,2021,6.3,8466,1360,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8466,1360,
1052,2019,8.7,46259,250,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46259,250,
2025,2014,7.8,41758,600,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41758,600,
4125,2009,8.3,70021,430,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70021,430,
4123,2016,8.2,127417,220,,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127417,220,
3957,2013,8.4,88962,440,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,88962,440,
1580,2009,6.7,139934,440,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,139934,440,
586,2021,8.7,31108,870,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31108,870,
445,2021,5.0,398,910,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,910,
721,2017,8.3,51802,230,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51802,230,
990,1998,6.6,38117,600,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38117,600,
3218,2010,7.4,155875,440,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,155875,440,
3770,1966,8.3,76213,500,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76213,500,
326,2009,8.6,141784,220,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141784,220,
4615,1990,8.8,182173,470,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,182173,470,
4263,2021,7.7,69482,1130,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69482,1130,
3991,2017,7.9,16183,450,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16183,450,
2520,2019,8.5,120364,150,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120364,150,
1843,2021,3.7,315,850,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,850,
3284,2013,8.3,79618,600,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79618,600,
4566,2020,7.4,2923,300,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2923,300,
4588,2016,8.4,14759,230,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14759,230,
3690,2020,6.9,39433,600,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39433,600,
4848,2017,7.7,12896,300,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12896,300,
4057,2020,7.1,108684,1380,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108684,1380,
657,2013,8.4,100611,480,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100611,480,
2294,2019,6.0,5667,600,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5667,600,
1614,2021,5.6,8099,920,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8099,920,
1983,2017,6.5,118859,550,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118859,550,
4535,2020,4.6,10008,400,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,10008,400,
1721,2021,6.9,18149,1350,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18149,1350,
1698,2013,8.5,236161,440,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,236161,440,
2483,2012,8.3,30685,600,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30685,600,
4089,2013,8.1,89590,600,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89590,600,
2131,2020,8.7,25386,240,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25386,240,
1185,2017,7.3,16666,420,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16666,420,
1896,2020,6.3,109059,1180,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109059,1180,
2517,2020,7.0,100693,1090,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100693,1090,
382,2021,4.8,16262,960,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16262,960,
4141,2018,8.6,195117,5720,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,195117,5720,
4461,2021,5.3,24250,1210,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,24250,1210,
2867,2009,6.7,49943,430,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49943,430,
1240,2021,7.9,19980,4670,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19980,4670,
4267,2019,7.8,3653,450,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3653,450,
3270,2020,7.5,31200,450,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31200,450,
4194,2019,7.2,97848,1400,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,97848,1400,
2139,2021,6.7,31953,560,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31953,560,
1072,2016,7.5,81326,600,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81326,600,
4804,2009,8.2,122230,400,,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122230,400,
4063,2021,7.1,60598,1120,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60598,1120,
1104,2018,7.2,18088,440,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18088,440,
4287,2020,6.7,141605,1250,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,141605,1250,
4192,2011,8.2,102312,450,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,102312,450,
3660,2007,8.2,77286,460,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77286,460,
66,2019,6.1,150455,1280,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150455,1280,
3423,2021,7.8,1976,1370,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,1370,
1028,2006,9.0,262556,240,,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262556,240,
2898,2002,8.3,79832,240,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79832,240,
554,2014,8.2,96550,560,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96550,560,
3417,2020,6.7,55389,900,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55389,900,
3055,2013,8.3,104501,440,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,104501,440,
1645,2011,7.8,111716,450,,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111716,450,
2546,2010,8.4,125749,600,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125749,600,
2829,2008,8.1,11437,480,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11437,480,
4836,2021,7.2,15262,980,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15262,980,
3324,2021,5.8,7128,260,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7128,260,
3315,2013,7.5,45045,420,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45045,420,
1254,2012,7.9,103707,600,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,103707,600,
4260,2014,8.2,23317,600,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23317,600,
1680,2009,9.1,134855,240,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134855,240,
253,2018,8.0,149002,600,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,149002,600,
1285,2001,7.5,48148,600,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48148,600,
545,2017,8.3,13218,240,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13218,240,
4651,2019,7.4,239770,1350,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239770,1350,
